,Index,Prompt,Num_Words,Num_Sentences,Num_Tokens,Num_Adjectives,Num_Nouns,Num_Verbs,Num_Adverbs,Human_Ratings,Tags
0,0,A baker pulling freshly baked bread out of an oven in a bakery.,14,1,14,0,4,2,1,"{'DALLE_3': [5, 5, 5], 'DeepFloyd_I_XL_v1': [4, 3, 3], 'Midjourney_6': [3, 3, 3], 'SDXL_2_1': [3, 2, 2], 'SDXL_Base': [3, 3, 2], 'SDXL_Turbo': [2, 4, 3]}","{'advanced': [], 'basic': ['Attribute', 'Scene', 'Spatial Relation', 'Action Relation']}"
1,1,A photographer capturing a fleeting moment in a vibrant city street.,12,1,13,2,4,1,0,"{'DALLE_3': [4, 5, 5], 'DeepFloyd_I_XL_v1': [3, 4, 3], 'Midjourney_6': [4, 5, 5], 'SDXL_2_1': [3, 4, 3], 'SDXL_Base': [4, 5, 5], 'SDXL_Turbo': [3, 5, 5]}","{'advanced': [], 'basic': ['Attribute', 'Scene', 'Action Relation']}"
2,2,A gardener tending to flowers in a greenhouse filled with sunlight.,12,1,12,0,4,2,0,"{'DALLE_3': [5, 5, 5], 'DeepFloyd_I_XL_v1': [5, 5, 5], 'Midjourney_6': [5, 5, 5], 'SDXL_2_1': [4, 4, 4], 'SDXL_Base': [4, 5, 5], 'SDXL_Turbo': [4, 5, 5]}","{'advanced': [], 'basic': ['Scene', 'Action Relation']}"
3,3,A man shaping clay on a wheel in a cluttered workshop.,12,1,13,1,4,1,0,"{'DALLE_3': [5, 5, 5], 'DeepFloyd_I_XL_v1': [4, 4, 3], 'Midjourney_6': [3, 4, 4], 'SDXL_2_1': [2, 4, 3], 'SDXL_Base': [3, 4, 3], 'SDXL_Turbo': [3, 5, 5]}","{'advanced': [], 'basic': ['Attribute', 'Scene', 'Spatial Relation', 'Action Relation']}"
4,4,"A crystal tree shimmering under a twilit, starry sky.",11,1,13,1,4,1,0,"{'DALLE_3': [4, 5, 5], 'DeepFloyd_I_XL_v1': [3, 2, 2], 'Midjourney_6': [3, 3, 2], 'SDXL_2_1': [4, 4, 3], 'SDXL_Base': [5, 5, 5], 'SDXL_Turbo': [4, 4, 3]}","{'advanced': [], 'basic': ['Attribute', 'Scene', 'Action Relation']}"
5,5,"A dragon perched majestically on a craggy, smoke-wreathed mountain.",11,1,16,1,3,1,1,"{'DALLE_3': [4, 5, 5], 'DeepFloyd_I_XL_v1': [3, 4, 3], 'Midjourney_6': [3, 5, 5], 'SDXL_2_1': [2, 3, 5], 'SDXL_Base': [3, 4, 3], 'SDXL_Turbo': [3, 5, 5]}","{'advanced': [], 'basic': ['Scene', 'Attribute', 'Spatial Relation', 'Action Relation']}"
6,6,"A fairy dancing lightly atop a blooming, moonlit flower.",11,1,12,0,4,1,1,"{'DALLE_3': [4, 5, 5], 'DeepFloyd_I_XL_v1': [2, 2, 2], 'Midjourney_6': [4, 5, 5], 'SDXL_2_1': [3, 2, 2], 'SDXL_Base': [3, 4, 4], 'SDXL_Turbo': [3, 4, 3]}","{'advanced': [], 'basic': ['Attribute', 'Spatial Relation', 'Action Relation']}"
7,7,"A phoenix soaring above a city, aglow with golden flames.",12,1,13,1,3,1,0,"{'DALLE_3': [5, 5, 5], 'DeepFloyd_I_XL_v1': [4, 5, 5], 'Midjourney_6': [4, 5, 5], 'SDXL_2_1': [3, 4, 4], 'SDXL_Base': [4, 4, 3], 'SDXL_Turbo': [3, 4, 3]}","{'advanced': [], 'basic': ['Attribute', 'Scene', 'Spatial Relation', 'Part Relation']}"
8,8,"A ghostly ship sailing on a fog-shrouded, moonlit sea.",11,1,16,3,1,1,1,"{'DALLE_3': [4, 5, 5], 'DeepFloyd_I_XL_v1': [4, 4, 3], 'Midjourney_6': [3, 5, 5], 'SDXL_2_1': [3, 3, 2], 'SDXL_Base': [4, 5, 5], 'SDXL_Turbo': [3, 4, 4]}","{'advanced': [], 'basic': ['Attribute', 'Scene', 'Action Relation']}"
9,9,"A sorcerer's hat casting shadows over a cluttered, enchanted desk.",13,1,16,2,3,1,0,"{'DALLE_3': [4, 5, 3], 'DeepFloyd_I_XL_v1': [1, 2, 1], 'Midjourney_6': [4, 5, 5], 'SDXL_2_1': [2, 2, 3], 'SDXL_Base': [3, 4, 5], 'SDXL_Turbo': [3, 4, 3]}","{'advanced': [], 'basic': ['Attribute', 'Spatial Relation', 'Action Relation']}"
10,10,A pair of winged boots resting on a cloud in the sky.,13,1,13,1,4,1,0,"{'DALLE_3': [4, 5, 5], 'DeepFloyd_I_XL_v1': [4, 4, 3], 'Midjourney_6': [4, 5, 5], 'SDXL_2_1': [2, 2, 1], 'SDXL_Base': [5, 5, 5], 'SDXL_Turbo': [5, 5, 5]}","{'advanced': ['Counting'], 'basic': ['Attribute', 'Scene', 'Spatial Relation']}"
11,11,A mirror is speaking in a dimly lit room.,10,1,11,1,3,2,0,"{'DALLE_3': [2, 1, 1], 'DeepFloyd_I_XL_v1': [3, 1, 1], 'Midjourney_6': [2, 2, 1], 'SDXL_2_1': [3, 3, 2], 'SDXL_Base': [3, 1, 1], 'SDXL_Turbo': [2, 2, 1]}","{'advanced': [], 'basic': ['Attribute', 'Scene']}"
12,12,An ice castle standing proudly in the midst of a blizzard.,12,1,12,0,4,1,1,"{'DALLE_3': [3, 5, 5], 'DeepFloyd_I_XL_v1': [3, 2, 1], 'Midjourney_6': [4, 3, 3], 'SDXL_2_1': [3, 3, 3], 'SDXL_Base': [4, 3, 3], 'SDXL_Turbo': [4, 5, 5]}","{'advanced': [], 'basic': ['Attribute', 'Scene', 'Spatial Relation']}"
13,13,A potion bubbling brightly inside a cauldron in a shadowy nook.,12,1,15,1,3,1,1,"{'DALLE_3': [4, 5, 5], 'DeepFloyd_I_XL_v1': [4, 5, 5], 'Midjourney_6': [4, 4, 4], 'SDXL_2_1': [3, 3, 2], 'SDXL_Base': [2, 4, 4], 'SDXL_Turbo': [2, 4, 3]}","{'advanced': [], 'basic': ['Attribute', 'Scene', 'Spatial Relation']}"
14,14,A book with glowing runes floating beside a mystic crystal.,11,1,12,2,3,1,0,"{'DALLE_3': [3, 3, 2], 'DeepFloyd_I_XL_v1': [2, 2, 2], 'Midjourney_6': [3, 3, 3], 'SDXL_2_1': [2, 2, 2], 'SDXL_Base': [2, 3, 3], 'SDXL_Turbo': [2, 2, 2]}","{'advanced': [], 'basic': ['Attribute', 'Spatial Relation', 'Part Relation']}"
15,15,A celestial comet racing across a star-studded sky.,9,1,11,2,2,1,0,"{'DALLE_3': [4, 5, 5], 'DeepFloyd_I_XL_v1': [3, 5, 5], 'Midjourney_6': [4, 5, 5], 'SDXL_2_1': [3, 5, 5], 'SDXL_Base': [3, 5, 5], 'SDXL_Turbo': [3, 5, 5]}","{'advanced': [], 'basic': ['Attribute', 'Scene', 'Action Relation']}"
16,16,A mermaid singing softly near a coral throne undersea.,10,1,11,1,3,1,1,"{'DALLE_3': [4, 3, 3], 'DeepFloyd_I_XL_v1': [2, 3, 3], 'Midjourney_6': [3, 5, 5], 'SDXL_2_1': [3, 3, 2], 'SDXL_Base': [3, 4, 3], 'SDXL_Turbo': [3, 2, 2]}","{'advanced': [], 'basic': ['Scene', 'Attribute', 'Spatial Relation']}"
17,17,"A goblin trading shiny trinkets in a hidden, mystical market.",12,1,13,2,5,0,0,"{'DALLE_3': [4, 4, 4], 'DeepFloyd_I_XL_v1': [2, 2, 2], 'Midjourney_6': [4, 5, 5], 'SDXL_2_1': [3, 1, 1], 'SDXL_Base': [3, 3, 2], 'SDXL_Turbo': [3, 3, 3]}","{'advanced': [], 'basic': ['Attribute', 'Scene', 'Action Relation']}"
18,18,"A unicorn grazing peacefully in a radiant, rainbow-lit glade.",11,1,14,2,3,0,1,"{'DALLE_3': [4, 5, 5], 'DeepFloyd_I_XL_v1': [3, 3, 2], 'Midjourney_6': [4, 5, 5], 'SDXL_2_1': [3, 3, 2], 'SDXL_Base': [3, 3, 2], 'SDXL_Turbo': [3, 3, 2]}","{'advanced': [], 'basic': ['Attribute', 'Scene', 'Action Relation']}"
19,19,A magical quill writing tales by itself on an empty scroll.,12,1,12,2,3,1,0,"{'DALLE_3': [4, 5, 5], 'DeepFloyd_I_XL_v1': [4, 5, 5], 'Midjourney_6': [3, 4, 4], 'SDXL_2_1': [1, 1, 1], 'SDXL_Base': [4, 5, 5], 'SDXL_Turbo': [2, 4, 4]}","{'advanced': [], 'basic': ['Attribute', 'Spatial Relation', 'Action Relation']}"
20,20,A lantern casting dim light in a haunted forest.,10,1,10,2,4,0,0,"{'DALLE_3': [5, 5, 5], 'DeepFloyd_I_XL_v1': [4, 3, 3], 'Midjourney_6': [3, 3, 3], 'SDXL_2_1': [4, 3, 3], 'SDXL_Base': [4, 3, 3], 'SDXL_Turbo': [4, 4, 4]}","{'advanced': [], 'basic': ['Attribute', 'Scene', 'Action Relation']}"
21,21,A cloak of invisibility draped over a chair in a secretive chamber.,13,1,15,1,4,1,0,"{'DALLE_3': [3, 4, 4], 'DeepFloyd_I_XL_v1': [4, 5, 5], 'Midjourney_6': [3, 4, 3], 'SDXL_2_1': [2, 4, 3], 'SDXL_Base': [3, 4, 4], 'SDXL_Turbo': [5, 5, 5]}","{'advanced': [], 'basic': ['Scene', 'Spatial Relation']}"
22,22,A genie's lamp emitting wisps of smoke on a sandy dune.,13,1,15,1,5,1,0,"{'DALLE_3': [4, 5, 5], 'DeepFloyd_I_XL_v1': [3, 4, 3], 'Midjourney_6': [3, 5, 5], 'SDXL_2_1': [3, 3, 3], 'SDXL_Base': [4, 4, 4], 'SDXL_Turbo': [5, 3, 3]}","{'advanced': [], 'basic': ['Scene', 'Spatial Relation', 'Action Relation']}"
23,23,An enchanted broom sweeping in a wizard's lofty chamber.,11,1,12,2,4,0,0,"{'DALLE_3': [5, 5, 5], 'DeepFloyd_I_XL_v1': [2, 3, 3], 'Midjourney_6': [3, 4, 3], 'SDXL_2_1': [1, 1, 1], 'SDXL_Base': [3, 5, 5], 'SDXL_Turbo': [2, 2, 2]}","{'advanced': [], 'basic': ['Attribute', 'Scene', 'Action Relation']}"
24,24,A cat pounces on a rolling ball.,8,1,9,0,3,1,0,"{'DALLE_3': [4, 5, 5], 'DeepFloyd_I_XL_v1': [5, 4, 4], 'Midjourney_6': [5, 5, 5], 'SDXL_2_1': [3, 3, 3], 'SDXL_Base': [4, 5, 5], 'SDXL_Turbo': [5, 5, 5]}","{'advanced': [], 'basic': ['Attribute', 'Spatial Relation', 'Action Relation']}"
25,25,A young man tastes a simmering soup.,8,1,9,1,2,2,0,"{'DALLE_3': [4, 4, 3], 'DeepFloyd_I_XL_v1': [4, 4, 3], 'Midjourney_6': [2, 4, 3], 'SDXL_2_1': [1, 2, 2], 'SDXL_Base': [3, 3, 3], 'SDXL_Turbo': [2, 3, 3]}","{'advanced': [], 'basic': ['Attribute', 'Action Relation']}"
26,26,A girl dabs paint on a mural.,8,1,9,1,3,0,0,"{'DALLE_3': [4, 5, 5], 'DeepFloyd_I_XL_v1': [4, 4, 3], 'Midjourney_6': [4, 5, 5], 'SDXL_2_1': [4, 4, 4], 'SDXL_Base': [4, 3, 3], 'SDXL_Turbo': [3, 3, 3]}","{'advanced': [], 'basic': ['Spatial Relation', 'Action Relation']}"
27,27,A dancer twirls in a spotlight.,7,1,8,0,3,0,0,"{'DALLE_3': [5, 5, 5], 'DeepFloyd_I_XL_v1': [3, 4, 4], 'Midjourney_6': [4, 5, 5], 'SDXL_2_1': [3, 3, 2], 'SDXL_Base': [4, 5, 5], 'SDXL_Turbo': [5, 5, 5]}","{'advanced': [], 'basic': ['Attribute', 'Scene']}"
28,28,A boy leaps over a hurdle.,7,1,7,0,2,1,0,"{'DALLE_3': [4, 5, 5], 'DeepFloyd_I_XL_v1': [4, 5, 5], 'Midjourney_6': [4, 3, 3], 'SDXL_2_1': [2, 3, 3], 'SDXL_Base': [2, 5, 5], 'SDXL_Turbo': [2, 5, 5]}","{'advanced': [], 'basic': ['Spatial Relation', 'Action Relation']}"
29,29,An old person snips a blooming rose.,8,1,9,1,2,2,0,"{'DALLE_3': [5, 5, 5], 'DeepFloyd_I_XL_v1': [3, 5, 5], 'Midjourney_6': [4, 5, 5], 'SDXL_2_1': [2, 4, 3], 'SDXL_Base': [4, 5, 5], 'SDXL_Turbo': [1, 4, 3]}","{'advanced': [], 'basic': ['Attribute', 'Action Relation']}"
30,30,A man kneads dough on a table.,8,1,9,0,2,1,1,"{'DALLE_3': [5, 5, 5], 'DeepFloyd_I_XL_v1': [2, 4, 4], 'Midjourney_6': [5, 5, 5], 'SDXL_2_1': [2, 3, 3], 'SDXL_Base': [3, 5, 5], 'SDXL_Turbo': [2, 3, 3]}","{'advanced': [], 'basic': ['Spatial Relation', 'Action Relation']}"
31,31,A person types on an old typewriter.,8,1,8,1,3,0,0,"{'DALLE_3': [4, 5, 5], 'DeepFloyd_I_XL_v1': [3, 5, 4], 'Midjourney_6': [2, 5, 5], 'SDXL_2_1': [3, 1, 1], 'SDXL_Base': [3, 4, 4], 'SDXL_Turbo': [2, 4, 3]}","{'advanced': [], 'basic': ['Attribute', 'Action Relation']}"
32,32,A dog tunes a violin.,6,1,6,0,2,1,0,"{'DALLE_3': [2, 5, 5], 'DeepFloyd_I_XL_v1': [3, 3, 3], 'Midjourney_6': [4, 5, 5], 'SDXL_2_1': [3, 3, 3], 'SDXL_Base': [1, 5, 5], 'SDXL_Turbo': [4, 5, 5]}","{'advanced': [], 'basic': ['Action Relation']}"
33,33,A woman examines a diamond.,6,1,6,0,2,1,0,"{'DALLE_3': [4, 5, 5], 'DeepFloyd_I_XL_v1': [2, 4, 4], 'Midjourney_6': [3, 5, 5], 'SDXL_2_1': [2, 4, 3], 'SDXL_Base': [2, 4, 4], 'SDXL_Turbo': [4, 5, 5]}","{'advanced': [], 'basic': ['Action Relation']}"
34,34,A small cat waves a wand.,7,1,7,1,2,1,0,"{'DALLE_3': [5, 5, 5], 'DeepFloyd_I_XL_v1': [4, 3, 2], 'Midjourney_6': [3, 4, 3], 'SDXL_2_1': [2, 2, 2], 'SDXL_Base': [4, 4, 3], 'SDXL_Turbo': [4, 5, 5]}","{'advanced': [], 'basic': ['Attribute', 'Action Relation']}"
35,35,A boy spots a colorful bird.,7,1,7,2,2,0,0,"{'DALLE_3': [4, 5, 5], 'DeepFloyd_I_XL_v1': [4, 5, 5], 'Midjourney_6': [4, 5, 5], 'SDXL_2_1': [4, 5, 5], 'SDXL_Base': [2, 3, 3], 'SDXL_Turbo': [3, 3, 3]}","{'advanced': [], 'basic': ['Attribute', 'Action Relation']}"
36,36,A sailor hoists a sail.,6,1,7,0,2,1,0,"{'DALLE_3': [3, 4, 4], 'DeepFloyd_I_XL_v1': [4, 4, 3], 'Midjourney_6': [4, 3, 3], 'SDXL_2_1': [3, 3, 3], 'SDXL_Base': [4, 3, 3], 'SDXL_Turbo': [2, 5, 5]}","{'advanced': [], 'basic': ['Action Relation']}"
37,37,A bird nocks an arrow.,6,1,7,0,2,1,0,"{'DALLE_3': [4, 4, 4], 'DeepFloyd_I_XL_v1': [2, 2, 2], 'Midjourney_6': [3, 2, 2], 'SDXL_2_1': [2, 2, 2], 'SDXL_Base': [3, 4, 4], 'SDXL_Turbo': [3, 3, 2]}","{'advanced': [], 'basic': ['Action Relation']}"
38,38,A cat basking in the sunlight by a window.,10,1,10,0,4,0,0,"{'DALLE_3': [5, 5, 5], 'DeepFloyd_I_XL_v1': [4, 5, 5], 'Midjourney_6': [5, 5, 5], 'SDXL_2_1': [3, 5, 5], 'SDXL_Base': [4, 5, 5], 'SDXL_Turbo': [5, 5, 5]}","{'advanced': [], 'basic': ['Attribute', 'Spatial Relation', 'Action Relation']}"
39,39,A red bicycle parked against a brightly painted wall.,10,1,10,1,2,2,1,"{'DALLE_3': [5, 5, 5], 'DeepFloyd_I_XL_v1': [1, 3, 1], 'Midjourney_6': [5, 5, 5], 'SDXL_2_1': [1, 3, 1], 'SDXL_Base': [4, 5, 5], 'SDXL_Turbo': [5, 5, 5]}","{'advanced': [], 'basic': ['Attribute', 'Spatial Relation', 'Action Relation']}"
40,40,A teapot steaming gently on a rustic kitchen table.,10,1,10,1,3,1,1,"{'DALLE_3': [3, 5, 5], 'DeepFloyd_I_XL_v1': [4, 5, 5], 'Midjourney_6': [5, 5, 5], 'SDXL_2_1': [3, 3, 2], 'SDXL_Base': [4, 5, 5], 'SDXL_Turbo': [4, 5, 5]}","{'advanced': [], 'basic': ['Attribute', 'Spatial Relation']}"
41,41,Old boots resting on a muddy trail in the woods.,11,1,11,1,4,1,0,"{'DALLE_3': [5, 4, 3], 'DeepFloyd_I_XL_v1': [3, 5, 5], 'Midjourney_6': [5, 5, 5], 'SDXL_2_1': [3, 5, 5], 'SDXL_Base': [5, 5, 5], 'SDXL_Turbo': [5, 5, 5]}","{'advanced': [], 'basic': ['Attribute', 'Scene', 'Action Relation']}"
42,42,A yellow taxi waiting outside a modern glass building.,10,1,10,2,3,1,0,"{'DALLE_3': [5, 5, 5], 'DeepFloyd_I_XL_v1': [4, 5, 5], 'Midjourney_6': [5, 5, 5], 'SDXL_2_1': [4, 5, 5], 'SDXL_Base': [5, 5, 5], 'SDXL_Turbo': [5, 5, 5]}","{'advanced': [], 'basic': ['Attribute', 'Spatial Relation', 'Action Relation']}"
43,43,"An armchair with a knit blanket draped over it, next to a fireplace.",15,1,15,1,4,1,0,"{'DALLE_3': [5, 5, 2], 'DeepFloyd_I_XL_v1': [5, 5, 5], 'Midjourney_6': [5, 5, 4], 'SDXL_2_1': [5, 3, 3], 'SDXL_Base': [5, 4, 5], 'SDXL_Turbo': [4, 4, 2]}","{'advanced': [], 'basic': ['Spatial Relation', 'Part Relation']}"
44,44,A colorful mural of a bird adorning a city alley.,11,1,12,1,4,1,0,"{'DALLE_3': [5, 5, 5], 'DeepFloyd_I_XL_v1': [4, 5, 5], 'Midjourney_6': [4, 5, 5], 'SDXL_2_1': [4, 5, 5], 'SDXL_Base': [5, 5, 5], 'SDXL_Turbo': [4, 5, 5]}","{'advanced': [], 'basic': ['Attribute', 'Scene']}"
45,45,An old lantern swaying from a tree branch in a foggy forest.,13,1,14,4,2,1,0,"{'DALLE_3': [4, 5, 5], 'DeepFloyd_I_XL_v1': [4, 5, 5], 'Midjourney_6': [4, 5, 5], 'SDXL_2_1': [3, 5, 5], 'SDXL_Base': [4, 5, 5], 'SDXL_Turbo': [4, 5, 5]}","{'advanced': [], 'basic': ['Attribute', 'Scene', 'Action Relation']}"
46,46,A garden path lined with glowing stones under a twilight sky.,12,1,12,2,3,2,0,"{'DALLE_3': [4, 3, 3], 'DeepFloyd_I_XL_v1': [5, 4, 3], 'Midjourney_6': [4, 5, 5], 'SDXL_2_1': [2, 2, 2], 'SDXL_Base': [2, 3, 2], 'SDXL_Turbo': [3, 5, 5]}","{'advanced': [], 'basic': ['Attribute', 'Scene']}"
